control,auroc,accuracy,balanced_accuracy,auroc_ci_low,auroc_ci_high,repeated_cv_auroc_mean,repeated_cv_auroc_sd,n_development,n_test,n_features
aligned_face_normalized,0.965034965034965,0.875,0.8846153846153846,0.8881118881118881,1.0,0.839418732782369,0.097842633707087,85,24,2048
whole_frame_context,0.93006993006993,0.8333333333333334,0.8461538461538461,0.7972027972027972,1.0,0.798146005509642,0.0818837263317011,85,24,2048
context_with_face_masked,0.8601398601398602,0.7916666666666666,0.8006993006993006,0.6853146853146853,0.986013986013986,0.7162947658402204,0.0782147755968133,85,24,2048
acquisition_metadata_only,0.8741258741258742,0.7916666666666666,0.7867132867132867,0.7062937062937062,0.986013986013986,0.8880055096418734,0.0598504056369013,85,24,6
aligned_middle_third,0.986013986013986,0.875,0.8706293706293706,0.9370629370629372,1.0,0.8130606060606062,0.0985398530472933,85,24,640
