task,target_roi_auroc,random_exact_mean,random_exact_q025,random_exact_q975,target_exceeds_random_q975,border_auroc,pool_8x8_auroc,pool_1x1_auroc
roi_localised,1.0,0.8307539999999999,0.6920038888888889,0.9276438888888888,True,0.49374444444444443,1.0,0.8684666666666667
border_shortcut,0.5004972222222223,0.9220452222222222,0.84914,0.9692277777777777,False,1.0,0.9998694444444445,0.9886555555555555
distributed_low_frequency,1.0,1.0,1.0,1.0,False,1.0,1.0,0.5205888888888889
random_support,0.8912388888888889,0.8106024444444444,0.6421466666666666,0.9340583333333332,False,0.9257833333333332,0.9095222222222222,0.871922222222222
