condition,model_seeds,auroc_mean_over_seeds,auroc_sd_over_seeds,ensemble_auroc,ensemble_auroc_ci_low,ensemble_auroc_ci_high,ensemble_accuracy,ensemble_balanced_accuracy
full_image,3,0.9822530864197532,0.0003862335562556,0.9857795698924732,0.9795152656332486,0.9911551156722016,0.946199829205807,0.941036439665472
detector_box_features_only,3,0.6936887694145759,0.0020447065317504,0.6963888888888887,0.6678527013458949,0.728496252503867,0.6507258753202391,0.627265531660693
detector_box_and_landmarks_only,3,0.8102917164476304,0.0092065028506273,0.8147939068100358,0.7896108272316985,0.8387323860669097,0.7514944491887275,0.7424746117084826
detector_binary_mask_only,3,0.5977668259657508,0.0134305630054551,0.6141875746714456,0.5809271393897684,0.6467027690657705,0.6105892399658411,0.5833617084826762
observed_detector_exterior,3,0.8545947829549981,0.0144370042063968,0.8655376344086022,0.8445105316202091,0.8884753038298538,0.7839453458582408,0.7853255675029869
