feature_group,n_features,auroc,auprc,accuracy,balanced_accuracy,brier_score,auroc_ci_low,auprc_ci_low,accuracy_ci_low,balanced_accuracy_ci_low,brier_score_ci_low,auroc_ci_high,auprc_ci_high,accuracy_ci_high,balanced_accuracy_ci_high,brier_score_ci_high,permutation_p_auroc,permutation_null_auroc_mean,permutation_null_auroc_q975
all_features,42,0.8560357675111774,0.8186813462447392,0.7931034482758621,0.7970193740685544,0.1529067262193367,0.7841952309985097,0.7362805076720145,0.7241379310344828,0.7251862891207154,0.1129336748233847,0.9186289120715352,0.9008147070195373,0.8620689655172413,0.8643815201192251,0.1970151824639525,9.999000099990002e-05,0.5008080774962741,0.6080551415797317
mean_statistics,14,0.8509687034277198,0.7995486075215542,0.7586206896551724,0.7588673621460507,0.1547480687641755,0.7779433681073025,0.7100623515533585,0.6810344827586207,0.6815201192250373,0.1172921462973251,0.9147540983606556,0.8896387221073857,0.8362068965517241,0.8353204172876304,0.1941581930233783,9.999000099990002e-05,0.4997321609538003,0.604769001490313
variance_statistics,14,0.7108792846497763,0.6762289709297589,0.646551724137931,0.6532041728763041,0.219228103944004,0.613107302533532,0.5801769867565076,0.5603448275862069,0.5676602086438152,0.1995767786323731,0.8020938897168405,0.7913211706800709,0.7241379310344828,0.7323397913561848,0.2391599281656418,9.999000099990002e-05,0.499744828614009,0.605365126676602
entropy_statistics,14,0.6271236959761549,0.6519721521870934,0.6206896551724138,0.622354694485842,0.2357421509960557,0.5263710879284649,0.5607301866897785,0.5344827586206896,0.5350223546944859,0.2155678281488566,0.7254918032786883,0.7460055775512909,0.7068965517241379,0.7087928464977645,0.2560877439229507,0.0081991800819918,0.4995938301043219,0.6062593144560358
action_unit_features,21,0.8405365126676602,0.8107997088654824,0.7844827586206896,0.7870342771982116,0.1618351066681943,0.7615499254843516,0.7227735907958172,0.7068965517241379,0.7105812220566319,0.1204326900239336,0.9085022354694484,0.892544252419451,0.853448275862069,0.857973174366617,0.2052607122037218,9.999000099990002e-05,0.500421609538003,0.6068554396423249
geometric_features,21,0.6837555886736215,0.6917002577113958,0.6637931034482759,0.6651266766020865,0.2214312048405918,0.5856929955290611,0.597434313038246,0.5775862068965517,0.5769001490312966,0.1980115101867797,0.7779433681073025,0.786880130395637,0.75,0.7506706408345754,0.2452721839743584,0.0005999400059994,0.500483129657228,0.6065573770491803
upper_face_features,21,0.6163934426229508,0.6413220749173858,0.5689655172413793,0.5704918032786885,0.2360022572930568,0.5108718330849478,0.5495080237607255,0.4741379310344827,0.4767511177347242,0.2103635131092839,0.7165424739195231,0.7371727647772772,0.6551724137931034,0.6578241430700447,0.2620697239052889,0.0156984301569843,0.5004071236959762,0.6065573770491803
lower_face_features,21,0.8655737704918033,0.8377211046691384,0.8103448275862069,0.8116244411326379,0.1463917263375497,0.7922503725782415,0.7501793433253853,0.7327586206896551,0.7369597615499255,0.1090750561164884,0.9257824143070044,0.9154550036798846,0.8793103448275862,0.8798807749627422,0.1884084138361455,9.999000099990002e-05,0.5012809538002981,0.6062593144560358
