n_pixels,auroc_mean,auroc_std,auroc_min,auroc_max,acc_mean,draws
32,0.9267514336917564,0.0111337795781487,0.9082407407407408,0.946532258064516,0.8641673783091375,50
64,0.9572369772998806,0.0075887546361562,0.9292592592592592,0.9727240143369176,0.9048676345004272,50
128,0.9712370967741936,0.0048428616082895,0.9595758661887694,0.9821176821983276,0.925465414175918,50
256,0.9787252688172045,0.0026185133214597,0.9729301075268816,0.9837066905615292,0.9386848847139198,50
512,0.982742652329749,0.0016719400906447,0.9791875746714456,0.987231182795699,0.9466438941076004,50
